70032,51581,31700,37168,56750,38066,33804,38685,28567,10686,0,23783,56633,19314,0,43877,41046,31056,32276,23505,37877,20610,20201,21613,44470,7513,21883,11593,26384,9783,11126,19527,20102,29994,13871,25419,0,1126,0,10253,0,0,37284,30868,47461,51520,0,33016,14389,12434,10726,10904,16455,9093,3794,45988,46329,0,0,0,795,18498,0,0,0,0,3840,0,0,0,0,29609,1552,45880,17451,35983,23333,31541,20928,40761,7156,8706,8961,8614,14693,16964,27,11126,0,13349,0,0,48422,0,6092,0,7405,0,0,0,14712,26102,24972,36770,15020,19385,0,0,13629,45667,22901,21631,17622,26152,0,34607,21949,3966,59350,35930,26326,44094,43868,1251,64643,57402,6993,0,42615,38880,0,0,20277,0,0,17260,25269,0,22102,27272,23418,11592,0,10981,833,25362,16492,12884,16646,2872,2813,0,14422,295,15749,8313,36270,20898,7827,7229,0,0,28,52411,3845,50509,3779,19748,23372,10082,0,3840,12851,0,25087,2081,18383,22980,24110,12054,0,18600,7657,605,36261,16241,12827,0,33809,0,9671,17130,13195,34179,0,11543
70033,87993,23523,8542,54371,32642,43542,42673,18587,13379,35383,21577,43181,95425,38658,22650,40562,18000,24042,50136,11818,43034,19586,66661,58515,15440,33539,17102,22922,28699,31715,16553,9486,40764,1.0294e+05,18418,27814,36797,50057,33440,28789,61483,32245,46826,67040,17581,25733,11629,17389,15755,11040,12670,24864,49906,19809,20313,27225,18405,19375,34971,21846,27887,30960,18104,41667,16275,14511,38073,16688,29464,36886,40296,27679,37876,27153,28575,0,50916,32550,64251,23381,17342,14380,16408,1.1377e+05,20819,20991,31715,20359,31811,40017,24007,24651,28899,13095,27024,48192,16954,8798,31022,34554,58075,57463,47545,27273,25955,13484,26323,44863,10672,53667,27493,23055,5693,23701,25732,31382,45945,24811,22169,1.1484e+05,34725,46836,36327,48201,91129,21999,34260,24443,30389,8179,20337,57360,35289,20697,16139,23704,12809,19050,24073,8563,28296,9765,14404,8580,16596,10905,22789,8640,2348,23239,11943,33528,9761,12589,5792,55448,8341,12230,11387,21451,6111,28130,19098,23745,63744,40484,29247,13792,23155,25560,14511,25111,30553,22771,14281,18101,38093,4100,37648,13529,18666,42346,25014,14777,23689,11805,0,30127,12013,776,13756,23260,24520,4965,41346
70034,31487,19266,5905,34425,1.9385e+05,19214,63729,23376,12138,16505,24169,26030,43959,62451,21178,20058,27259,27226,10637,0,84981,14004,42275,27419,3240,29860,19335,27256,9048,8812,0,26829,36461,38024,23891,37749,40251,6271,23835,11021,37919,1.3817e+05,34123,15899,21929,41870,7090,22424,3828,0,0,6332,36522,17314,9336,31786,0,5251,32963,11860,16953,16244,55432,70407,47636,15013,23755,22224,39922,25840,22095,23687,33222,44846,8749,17480,13317,8937,17903,32499,18339,9603,5318,36373,21533,20713,8812,11156,37143,27776,47928,15705,3480,23065,0,20868,0,0,254,14090,10928,32538,1.5804e+05,16179,25395,33066,7545,33513,23270,24214,4124,30110,15389,7877,17822,30283,41727,27326,56419,25404,18807,24217,14710,23232,49235,20115,14806,19208,8369,11561,0,23149,26198,17921,8399,29305,0,14743,26854,12220,11931,5741,9320,12130,3953,5848,25760,7340,14911,16620,0,12981,0,18550,0,16543,6036,0,10764,1114,0,1598,17939,19599,48173,26815,8175,243,11841,4920,15013,2732,6617,17992,14717,7329,24277,2551,24292,34502,40948,19343,37735,18693,25151,667,0,27789,5156,8903,1.1825e+05,12955,24707,0,44864
70035,50026,15400,0,11942,41291,37353,26104,15169,12502,23301,77511,52833,54829,3515,47396,34197,27925,30206,22638,0,47503,0,0,0,0,48805,13202,24070,0,0,0,14284,24373,33308,11941,46408,25124,0,1.6756e+05,32564,0,30375,25834,41049,52436,58147,5486,25399,2518,0,0,0,0,14131,0,80285,1.1138e+05,79286,25847,18805,14866,32854,33849,67196,16656,0,10697,31362,32001,11237,34288,16258,24939,23663,20978,0,15816,8053,28701,37204,0,2990,0,38987,24655,12710,0,20432,50388,23179,16434,31610,0,0,0,0,0,0,0,12421,20335,0,57603,30112,0,29463,20707,15105,31411,42116,1742,8381,2,66164,24952,37104,36251,10018,23188,28013,8909,6513,30086,28575,1.0454e+05,19047,0,14084,11370,0,0,17421,0,25474,9598,19773,0,26632,15168,26391,18073,9590,0,7187,8401,0,51049,18637,4265,0,1.0846e+05,23131,0,7985,0,40846,11209,0,10546,7823,48736,0,20533,42091,88445,0,4490,0,0,84626,0,19147,0,13074,8913,17092,19903,4803,0,15908,16757,23438,9755,34712,15913,19166,0,31338,0,0,11468,2284,41017,0,36036
70048,0,56880,37949,53807,0,10671,2782,46311,11748,0,19903,31647,0,80189,13411,0,0,45619,18790,30991,9564,37241,46651,69923,19572,26630,14139,0,21223,38733,52634,27648,36211,0,0,0,0,50254,0,0,60851,18732,0,7703,16533,0,34941,58097,16053,35239,19865,27366,35086,14650,24840,36477,0,0,0,0,0,0,0,0,0,25656,0,6592,22263,23991,7463,19989,0,11069,0,25429,39389,20862,17399,13505,27839,8986,24654,0,30694,0,38733,0,30641,0,0,0,23168,34483,51781,37827,57533,17598,26677,26464,0,32478,0,0,44457,0,0,46552,11412,11681,39865,0,39890,0,0,24086,0,83114,33265,0,45822,17433,0,0,16230,23281,32773,0,0,30950,17214,0,38778,0,24518,19152,13866,0,0,8730,9102,0,19959,27706,0,2619,15380,0,36425,36221,0,119,13851,15146,15739,0,18177,17045,9723,0,0,26877,28957,3250,29405,29839,33196,57268,15877,0,25656,10507,31125,0,31927,0,0,13750,26841,0,0,0,68688,11510,0,0,22586,0,8553,13861,0,12328,30358,40664,0
70050,0,11194,15495,13189,0,11480,0,5201,2657,0,15996,0,0,36575,13500,0,0,1861,21433,17774,0,39051,42149,33944,5,1169,0,0,21973,14473,21195,0,15421,0,0,0,0,47293,0,0,42320,0,0,0,6929,0,20067,1291,16401,0,13483,33691,35667,2086,16712,16891,0,0,0,0,0,0,0,0,0,10536,0,0,0,5819,9994,2093,0,0,0,39258,29133,21917,18217,0,0,0,1266,0,2428,0,14473,0,0,0,0,0,20590,33487,26247,34555,38169,12301,25655,2115,0,25798,0,0,10300,0,0,16184,4046,10066,23265,0,10880,0,0,0,0,16557,0,0,33331,14899,0,0,19619,1581,30720,0,0,32450,26637,0,22735,0,23423,0,9778,6780,0,1084,0,0,10673,0,0,12034,14653,0,8457,16620,0,0,0,0,4093,1236,0,4365,0,0,0,29691,1585,0,18892,20830,22533,15250,11709,0,10536,3860,24688,0,18252,0,0,3701,29176,0,0,352,21490,8175,0,0,17071,0,0,10412,0,3593,5745,11363,0
70066,16771,18408,14622,30643,46903,21236,35611,15610,10442,26796,30943,25353,45830,32292,30165,24286,13538,38422,22182,9407,6071,25393,22910,50285,11129,50086,36709,0,22115,26720,27097,8197,33023,26278,15922,42382,30843,1.951e+05,0,304,27863,37192,21994,18072,30009,13511,8139,22003,12680,8997,11753,40453,13423,16307,19551,51538,0,0,0,1584,8553,0,12638,6005,0,10324,20892,24698,43302,24063,25259,9226,23744,17883,15918,24820,44783,28355,43723,0,13413,4483,9424,30678,34574,0,26720,0,80104,30592,4876,9239,19482,34639,42846,1.0065e+05,1.937e+05,46687,1.3311e+05,20625,0,25857,27191,0,25860,14066,0,29550,25511,19458,29990,19692,6509,0,22112,36368,36881,22319,16287,19962,25987,22928,4769,24167,42566,20150,19878,9442,232,36666,1.6213e+05,14537,18614,0,10743,12026,40760,20949,13267,15057,9786,0,6313,8219,4814,11828,24102,11992,14872,9638,0,51445,6982,17547,2344,19035,11897,8706,3856,16649,0,39293,21477,41144,68892,9715,16394,13944,20788,0,10324,2514,15409,17766,12648,10998,19808,3818,19814,14537,27187,9338,22734,23350,10616,4220,46406,14501,9480,15230,20353,6595,40054,14080,0
70068,28382,0,0,0,971,8144,27614,6340,0,19118,11021,15422,22659,0,14661,41697,54577,3609,0,0,0,0,0,0,0,13786,9748,35965,0,0,0,0,14380,10057,0,12708,7679,0,23637,32505,0,12147,18006,27129,0,8128,0,0,0,0,0,0,0,0,0,18710,272,1810,26925,22484,26044,28544,16576,49295,18978,11655,13521,15257,6120,0,1537,0,0,0,27782,0,0,0,0,0,0,0,0,17548,7039,20713,0,27716,24848,11166,12405,47934,0,0,0,0,0,0,0,0,7137,0,0,38969,0,2915,9088,0,3607,0,0,8726,8672,20053,30085,15686,13954,5186,9497,18952,0,0,29786,42843,26930,880,0,21208,36220,0,0,11856,0,4084,0,13901,0,11252,0,0,0,11619,6719,0,28978,0,3054,29111,0,0,0,10057,0,0,0,16388,0,0,0,21071,0,0,6056,15079,17971,0,0,0,0,23145,11655,0,0,0,0,19685,16099,0,0,4935,2127,12079,0,10226,18438,22372,0,33365,0,0,326,0,17292,0,46827
70076,36183,4563,13446,24280,23579,20270,20217,0,0,20464,18391,15351,69387,15600,1676,35913,49254,3141,0,0,15880,0,26470,37064,0,40474,13625,31743,14766,23217,14605,0,0,35987,16033,27222,50438,39728,16471,16900,18255,19970,32677,18470,13600,23849,12220,0,308,10130,0,17132,17819,0,14606,21224,28671,19462,15871,6714,26085,20663,16020,28696,13776,0,18528,14646,28760,33839,32079,0,31933,0,12568,7535,0,0,0,0,0,9648,22788,54218,16437,17805,23217,24872,32853,49671,30508,41105,0,0,0,36329,18031,10078,22856,0,0,12869,30694,45464,21656,13666,27809,21086,3354,0,0,16766,0,33623,19292,26734,62955,16902,9629,27644,0,20372,16888,26390,52804,0,1525,19553,5337,0,31145,30726,11179,20384,8415,11609,10450,5625,22450,0,6004,8313,0,0,2636,6582,25087,17197,0,13175,14902,25726,0,2273,11350,20472,0,0,0,11520,12216,23404,2514,18646,63482,17146,9217,18535,18822,16791,0,0,0,67,5910,5932,6597,0,19067,13150,5599,25529,7470,0,26283,17385,5725,32607,13040,0,7051,7377,9891,1691,41219
70077,51845,36107,27570,25695,40676,27363,52148,26542,11386,24475,56848,42761,43038,26533,45062,21846,35740,32052,7934,0,10408,20690,31660,47458,12854,25816,15695,27685,18268,28984,46216,11054,41518,34193,18081,25715,19502,42899,0,0,24251,57079,33593,38616,57018,37457,25354,19913,20338,27221,24571,19375,25146,14317,19579,64417,0,0,0,12,12894,9303,4275,20693,19061,12212,19501,12277,18927,34460,9649,10597,31536,18155,2674,18041,0,11632,0,1631,15131,3074,13058,27985,23670,0,28984,309,22952,25872,2316,32325,18209,11548,24206,34002,27381,5378,28117,18280,0,34204,27350,8475,29182,11355,0,32928,44107,3623,11699,22858,23456,0,16208,8164,26037,54597,39705,38423,753,23723,0,16842,59405,14003,18365,7776,0,12165,36870,29390,7798,11138,30483,26292,5047,30296,11339,22117,5396,0,12312,12045,0,12800,20194,23726,9121,13384,0,25622,6751,16003,10183,42122,14417,132,1097,17205,0,9338,41819,18006,50685,13608,34107,39197,33609,0,12212,0,18215,27915,10050,0,28023,16484,19541,0,25875,420,24345,35178,22089,19780,18525,37215,16883,9308,13234,10029,39825,5040,12359
